ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0345445724,,,,,,,
0345368991,The Chronicles of Pern: First Fall,"Travel back to the earliest days of Pernese history in this first-ever Dragonriders of Pern short-story collection! Join the original survey team as they explore Pern and decide to recommend it for colonization. Share the terror of the evacuation from the Southern Continent as a flotilla of ships, aided by intelligent, talking dolphins, braves the dreadful currents of the Pernest ocean. Learn how the famous Ruatha Hold was founded, and thrill with the dragonriders as they expand into a second, then a third Weyr. And discover a secret lost in time: the rescue of some of the original colonists before the planet was cut off forever! Building a new life on a distant world, braving the dreaded Thread that falls like silver rain from the sky only to destroy every living thing it touches, flying heroically on the wondrous dragons: The Dragonriders of Pern!",Anne McCaffrey,1994,Del Rey,340.0,Fiction
0385335482,Confessions of a Shopaholic,"From the #1 New York Times bestselling author of The Party Crasher and Love Your Life comes “a hilarious tale . . . hijinks worthy of classic I Love Lucy episodes . . . too good to pass up.” (USA Today) “Sophie Kinsella keeps her finger on the cultural pulse, while leaving me giddy with laughter.”—Jojo Moyes, author of The Giver of Stars and The Last Letter from Your Lover Becky Bloomwood has a fabulous flat in London’s trendiest neighborhood, a troupe of glamorous socialite friends, and a closet brimming with the season’s must-haves. The only trouble is, she can’t actually afford it—not any of it. Her job writing at Successful Saving magazine not only bores her to tears, it doesn’t pay much at all. And lately Becky’s been chased by dismal letters from the bank—letters with large red sums she can’t bear to read. She tries cutting back. But none of her efforts succeeds. Her only consolation is to buy herself something . . . just a little something. Finally a story arises that Becky actually cares about, and her front-page article catalyzes a chain of events that will transform her life—and the lives of those around her—forever. Praise for Sophie Kinsella and Confessions of a Shopaholic “Kinsella’s Bloomwood is plucky and funny. . . . You won’t have to shop around to find a more winning protagonist.”—People “If a crème brûlée could be transmogrified into a book, it would be Confessions of a Shopaholic.”—The Star-Ledger “A have-your-cake-and-eat-it romp, done with brio and not a syllable of moralizing. . . . Kinsella has a light touch and puckish humor.”—Kirkus Reviews",Sophie Kinsella,2001-02-06,Dial Press Trade Paperback,321.0,Fiction
0375507523,Bushwhacked,"Offers a critique of the presidency of George W. Bush, describing how the same flawed policies he used to govern Texas have affected health and safety standards, the economy, and the environment.","Molly Ivins, Lou DuBose",2003,Random House Incorporated,376.0,Political Science
0425175405,Black Notice,The discovery of the decomposed body of a stowaway aboard a cargo ship leads Chief Medical Examiner Kay Scarpetta to a perilous international odyssey on a mission that could destroy her career and threatens her own life.,Patricia Daniels Cornwell,2000,Penguin,468.0,Fiction
1558745157,The Lost Boy,"Sequel to A child called It, detailing the author's experiences in foster care after his removal from his abusive home.","Dave Pelzer, David J. Pelzer",1997,"Health Communications, Inc.",354.0,Biography & Autobiography
0441005926,Illegal Alien,"When a disabled spaceship enters the Earth's atmosphere, seven members of the Tosok race are welcomed by the world with open arms. But when a human scientist is found murdered, all evidence points to one of the Tosoks. For the first time, an alien must be put on trial before humans in a court of law--and there's far more at stake than accounting for one human life.",Robert J. Sawyer,1999,Ace,0.0,Human-alien encounters
0743465067,Highlander Unbound,"On leave from his Highland regiment, Captain Liam Lockhart comes to London on an urgent mission: to repossess the stolen family heirloom that could save his ancestral estate. He never dreamed it would involve surrendering his heart. But the beautiful and scandalous socialite Ellen Farnsworth sets his Highland blood aflame with a will as strong and reckless as his own. Though bound to Liam by a soul-searing passion, duty impels Ellen to commit a terrible betrayal. Now, driven by passion, pride, and vengeance that know no bounds, this fearsome Highlander will reclaim not only his family's ancient treasure, but the one daring woman he was meant to love for all time.",Julia London,2004-02-01,Pocket Star,0.0,Fiction
0060987561,I Know This Much Is True,"Tells the story of a pair of twins, one plagued by schizophrenia and the other by a promise he made to his dying mother to look after his brother.",Wally Lamb,1999,Harper Collins,912.0,Fiction
055321263X,The Woman in White,"Wilkie Collins’ classic tale of murder, intrigue, madness, and mistaken identity ONE OF TIME’S 100 BEST MYSTERY AND THRILLER BOOKS OF ALL TIME “There, in the middle of the broad, bright high-road—there, as if it had that moment sprung out of the earth or dropped from the heaven—stood thefigure of a solitary Woman, dressed from head to foot in white garments.” Generally considered the first English sensation novel, The Woman in Whitefeatures the remarkable heroine Marian Halcombe and her sleuthing partner, drawing master Walter Hartright, pitted against the diabolical team of Count Fosco and Sir Percival Glyde. After more than a century since its publication, Wilkie Collins’s psychological thriller has never been out of print.",Wilkie Collins,1985-04-01,Bantam Classics,802.0,Fiction
0380810158,You Never Can Tell,"How can you find a man who doesn't want to be found?""Where is he now?"" That's the question on everyone's lips about strong, sexy Native American Kole Kills Crow. He was once a media darling -- men wanted to be him... women wanted to be with him. But tragedy convinced Kole that it was time to vanish. Now, reporter Heather Reardon has ,turned up at his door, and although she's a tempting package, it's one he's hesitant to open -- at first. Heather is feeling pretty proud of herself for finding her man -- even if she does have to track him down in some backwoods bar -- until she discovers that the hero of her fantasies wants nothing to do with his past. Nights spent together in his warm cabin reawaken the fire within him, and Heather ignites a shared passion that neither of them expected. But then Kole is thrust back into the harsh public spotlight, forcing him to face down the demons that still haunt him... and making Heather wonder if she can trust her heart. to a lover who will never be completely hers.",Kathleen Eagle,2002-04-30,Avon,384.0,Fiction
3458171703,Der Schatten des Windes,"In einem geheimnisvollen äFriedhof der vergessenen Bücherä darf sich der junge Daniel ein Buch aussuchen. Fasziniert von der Geschichte, die er liest, macht sich Daniel auf die Suche nach dem Autor und gerät dabei in grosse Gefahr.",Carlos Ruiz Zafón,2003,,526.0,Antiquarian booksellers
0446364193,Along Came a Spider,"Discover the classic thriller that launched the #1 detective series of the past twenty-five years, now one of PBS's ""100 Great American Reads"" Alex Cross is a homicide detective with a Ph.D. in psychology. He works and lives in the ghettos of D. C. and looks like Muhammad Ali in his prime. He's a tough guy from a tough part of town who wears Harris Tweed jackets and likes to relax by banging out Gershwin tunes on his baby grand piano. But he also has two adorable kids of his own, and they are his own special vulnerabilities. Jezzie Flanagan is the first woman ever to hold the highly sensitive job as supervisor of the Secret Service in Washington. Blond, mysterious, seductive, she's got an outer shell that's as tough as it is beautiful. She rides her black BMW motorcycle at speeds of no less than 100 mph. What is she running from? What is her secret? Alex Cross and Jezzie Flanagan are about to have a forbidden love affair-at the worst possible time for both of them. Because Gary Soneji, who wants to commit the ""crime of the century,"" is playing at the top of his game. Soneji has outsmarted the FBI, the Secret Service, and the police. Who will be his next victim? Gary Soneji is every parent's worst nightmare. He has become Alex Cross's nightmare. And now, reader, he's about to become yours.",James Patterson,1993-12-01,Grand Central Publishing,516.0,Fiction
0671027360,Angels & Demons,A novel about a symbologist who discovers the existence of an ancient vendetta against the Catholic Church.,Dan Brown,2001,Pocket Books,612.0,Fiction
0375760911,The Idiot Girls' Action-Adventure Club,"NEW YORK TIMES BESTSELLER “I’ve changed a bit since high school. Back then I said no to using and selling drugs. I washed on a normal basis and still had good credit.” Introducing Laurie Notaro, the leader of the Idiot Girls’ Action-Adventure Club. Every day she fearlessly rises from bed to defeat the evil machinations of dolts, dimwits, and creepy boyfriends—and that’s before she even puts on a bra. For the past ten years, Notaro has been entertaining Phoenix newspaper readers with her wildly amusing autobiographical exploits and unique life experiences. She writes about a world of hourly-wage jobs that require absolutely no skills, a mother who hands down judgments more forcefully than anyone seated on the Supreme Court, horrific high school reunions, and hangovers that leave her surprised that she woke up in the first place. The misadventures of Laurie and her fellow Idiot Girls (“too cool to be in the Smart Group”) unfold in a world that everyone will recognize but no one has ever described so hilariously. She delivers the goods: life as we all know it.",Laurie Notaro,2002-07-02,Villard,240.0,Biography & Autobiography
0671510053,The Shipping News,Quoyle and his two emotionally disturbed daughters return to the family ancestral home in Newfoundland to start new lives.,Annie Proulx,1994-06,Simon and Schuster,354.0,Fiction
0515089958,The Majors,"Dien Bien Phu. Saigon. Hanoi. In 1954, they were only exotic names from a French campaign halfway around the world. But now American fighting men--proven on the bloody beaches of Normandy and in the minefields of Korea--are summoned to help beat back the guerilla forces of Ho Chi Minh. To some, the ""secret"" war in Indochina was the depth of folly. To others, like the Majors, it pointed to the heights of glory...",W.E.B. Griffin,1986-11-15,Penguin,385.0,Fiction
0380778777,"Murder, My Suite","Gossip columnist Dagmar Delacroix Chatsworth and her yappy lapdog Rover's recent stay at the Hillside manor left hostess Judith McMonigle Flynn's nerves, and best bed linens, in tatters.So Judith joins cousin Renie for some well-earned off-season R&R at Canada's famous Bugler Ski Resort -- only to discover with horror that the swanky getaway is the next stop on detestable Dagmar's itinerary.But it seems the cousins aren't the only guests with serious grudges against the dirt-disher and her malicious mutt. And when one of the despised lady's entourage is murdered on the snowless slopes, Judith sets out to corner a killer -- before more hapless hangers-on discover that Dagner's company can be even more poisonous than her pen. Gossip columnist Dagmar Delacroix Chatsworth and her yappy lapdog Rover's recent stay at the Hillside Manor left hostess Judith McMonigle Flynn's nerves, and best bed linens, in tatters. So Judith joins cousin Renie for some well-earned off-season R&R at Canada's famous Bugler Ski Resort -- only to discover with horror that the swanky getaway is the next stop on detestable Dagmar's itinerary. But it seems the cousins aren't the only guests with serious grudges against the dirt-disher and her malicious mutt. And when one of the despised lady's entourage is murdered on the snowless slopes, Judith sets out to corner a killer -- before more hapless hangers-on discover that Dagmar's company can be even more poisonous than her pen.",Mary Daheim,2001-01-01,Avon,272.0,Fiction
0441009867,The Vampire Sextette,"Just in time for Halloween--a collection of six original novellas by some of the modern masters of vampire fiction. Authors are Nancy Collins, Tanith Lee, Kim Newman, S.P. Somtow, Brian Stableford, and Chelsea Quinn Yarbro.",Marvin Kaye,2002,,0.0,Fantasy fiction
0886776376,Foreigner,"It had been nearly five centuries since the starship Phoenix had become lost in space and had encountered the world of the atevi. On this world where law was kept by registered assassination, war between the humans and atevi was inevitable. Now, 200 years after that conflict, the sole human allowed into atevi society is marked for an assassin's bullet. . . .",C. J. Cherryh,1994,"D A W Books, Incorporated",0.0,Life on other planets
0349101779,,,,,,,
0374386137,A Wrinkle in Time,Three extra-terrestrial beings take Meg and her friends to another world.,Madeleine L'Engle,1962,Macmillan,222.0,Juvenile Fiction
0380755556,Tiger's Eye,"Lady Isabella St. Just is shocked to learn the identity of the daring champion who comes to her aid -- for the man who rescues her from desperate felons is none other than Alec Tyron, the notorious king of London's underworld. Now she is beholden to an outlaw who is respected and feared throughout the city and stunned by her own intense desire for this dark man of mystery. Fate has united these strangers from opposite lives -- the beautiful aristocrat and the brazen criminal outlaw. And now that the flame has been lit, no power on Earth will quench the fire of their passion...or destroy a love that society cannot allow.",Karen Robards,1989-05-01,Avon,404.0,Fiction
0345432479,Crazy in Alabama,"In Alabama during the racially restless summer of 1965, an orphan boy comes of age, and his aunt escapes from an unhappy marriage.",Mark Childress,1998-12-31,Ballantine Books,454.0,Fiction
0312969422,Bread on Arrival,"Restaurateur Heaven Lee investigates two murders during a convention of bread bakers in Kansas City, including that of a world-famous baker. Lots of recipes and detail on the making of bread.",Lou Jane Temple,1999-11-15,Macmillan,292.0,Fiction
0812534050,The Magic Engineer,Return now to the world of Recluce in The Magic Engineer.,"L. E. Modesitt, Jr.",1995-07-15,Tor Fantasy,624.0,Fiction
0449005925,Slaves of Obsession,A William Monk novel.,Anne Perry,2001,Fawcett,369.0,Fiction
0671024248,Hearts In Atlantis,"Hearts In Atlantis is composed of five interconnected, sequential narratives set in the years from 1960 to 1999. Each story is deeply rooted in the sixties, and each is haunted by the Vietnam War. In ""Low Men in Yellow Coats,"" eleven-year-old Bobby Garfield discovers a world of predatory malice in his own neighborhood and that adults are sometimes not rescuers but at the heart of the terror. In the title story, a bunch of college kids get hooked on a card game, discover the possibility of protest...and confront their own collective heart of darkness, where laughter may be no more than the thinly disguised cry of the beast. In ""Blind Willie"" and ""Why We're in Vietnam,"" two men who grew up with Bobby in suburban Connecticut try to fill the emptiness of the post-Vietnam era in an America which sometimes seems as hollow and haunted as their own lives. And in ""Heavenly Shades of Night Are Falling,"" Bobby returns to his hometown where one final secret, and his heart's desire may await him. Full of danger, suspense, and full of heart, Hearts In Atlantis takes some listeners to a place they have never been...and others to a place they have never been able to completely leave.",Stephen King,2000-08-01,Pocket Books,688.0,Fiction
0970816308,Channeling Biker Bob,,Nik C. Colyer,2001,,208.0,Fiction
0671534726,Heart Song,"From #1 bestselling author V.C. Andrews (Flowers in the Attic, My Sweet Audrina) comes the second book in the captivating Logan series... Melody Logan was as alone as a solitary gull, with only the wild Atlantic wind to lift her spirits... When Melody Logan's mother died in a car accident, Melody lost the last shred of family she had ever known. She was practically a stranger to the Logans, her wealthy relatives on Cape Cod, where she now drifted on a sea of dark secrets. In the eyes of gentle Aunt Sara, Melody was a replacement for her dead daughter, while for Uncle Jacob she was a reminder of the family's shameful past. Only good-hearted Cary seemed to care, and since it was revealed that she and Cary weren't truly cousins, the affection that had always surged between them now crested in thrilling waves. But Melody knew she could never truly echo Cary's loving promises until she discovered her own buried identity. Despite Grandma Olivia's dagger-like threats, Melody sought out Belinda, a mysterious, half-crazy woman who was her real grandmother. Belinda gave Melody hope—and a glimmer of the pearls of truth she knew were hidden in the shifting Cape Cod sands. Somehow, someday, the story of her past would be her hard-won treasure, to be savored in a world of sunshine and happiness...where she truly belonged.",V.C. Andrews,1997-05-01,Pocket Books,392.0,Fiction
