ISBN,title,description,authors,publish_date,publisher,number_of_pages,subjects
0316780375,The Weight of Water,"""I wonder this: If you take a woman and push her to the edge, how will she behave?"" The question is posed by Jean, a photographer, who arrives on Smuttynose Island, off the coast of New Hampshire, to research a century-old crime. As she immerses herself in the details of the case--an outburst of passion that resulted in the deaths of two women--Jean herself enters precarious emotional territory. The suspicion that her husband is having an affair burgeons into jealousy and distrust, and ultimately propels Jean to the verge of actions she had not known herself capable of--actions with horrific consequences. Everywhere hailed for its beauty and power, The Weight of Water takes us on an unforgettable journey through the furthest extremes of emotion.",Anita Shreve,2004,Back Bay Books,290.0,Fiction
0440221471,The Runaway Jury,The jury in a Mississippi tobacco trial appears to be manipulated and controlled.,John Grisham,1997,Dell,561.0,Fiction
0804115613,Fried green tomatoes at the Whistle Stop Cafe : [a novel],"Mrs. Threadgoode's tale of two high-spirited women of the 1930s, Idgie and Ruth, helps Evelyn, a 1980s woman in a sad slump of middle age, to begin to rejuvenate her own life. By the author of Welcome to the World, Baby Girl! Reprint.",Fannie Flagg,2000,"Random House Digital, Inc.",415.0,Fiction
0684832178,Chocolate for a Woman's Soul,Christian nonfiction-77 short stories.,Kay Allenbaugh,1997-05-06,Simon and Schuster,260.0,"Body, Mind & Spirit"
1551666022,Dakota Home,Buffalo Valley has found new life.,Debbie Macomber,2000,MIRA,0.0,Bison farming
0671700103,The Eyes of the Beholders,"After several Federation and Klingon ships disappear while traveling a newly opened trade route, the U.S.S. Enterprise is sent to investigate. Their quest leads Captain Picard and his crew to an eerie space graveyard full of ships of every size and description--all of them, dead in space. At the center of the graveyard lies a huge, incredibly powerful Artifact, constructed by an ancient alien race. And as the crew struggles to solve the mystery of the Artifact, they unwittingly trigger its awesome power, a power that threatens insanity and death to all aboard the Starship Enterprise!",A. C. Crispin,1990,Pocket Books/Star Trek,0.0,"Picard, Jean Luc (Fictitious character)"
0440225442,One False Move,"Sports agent and occasional P.I. Myron Bolitar is hired to protect basketball superstar Brenda Slaughter, who has been receiving bizarre death threats, but Myron's investigation takes a turn when Brenda's father is killed. Reprint.",Harlan Coben,1998,Dell Publishing Company,383.0,Fiction
0345309197,The Ladies of Mandrigyn,"Sheera Galernas and the women of Mandrigyn convince Captain Sun Wolf, a mercenary, to teach them how to fight against the evil wizard king, Altiokis, who has enslaved all the men of their city",Barbara Hambly,1984,,311.0,Fiction
055357924X,Kissed a Sad Goodbye,"Scotland Yard's Duncan Kincaid and Gemma James face their most haunting case yet when the past devastatingly intersects with the present.... The call from Scotland Yard couldn't have come at a worse time for Detective Superintendent Duncan Kincaid. He has promised the weekend to Kit, the eleven-year-old son of his ex-wife. The son he never knew he fathered -- who doesn't yet know Kincaid's true identity. But Duncan's best intentions are shattered by an investigation that draws him in and swiftly consumes him. It seems to begin with the discovery of the body of a beautiful young woman in an East London park. But Kincaid and Sergeant Gemma James will discover that this case has long roots that reach far back into the past, and that resentments which should have been decades buried still have the power to hurt -- and maybe even the capacity to kill.",Deborah Crombie,2001-01-02,Bantam,402.0,Fiction
057120175X,The Poisonwood Bible,"Told by the wife and four daughters of Nathan Price, a fierce evangelical Baptist who takes his family and mission to the Belgian Congo in 1959, The Poisonwood Bible is the story of one family's tragic undoing and remarkable reconstruction over the course of three decades in postcolonial Africa.",Barbara Kingsolver,2000,,616.0,Americans
